,Inf,Name,Position,Nat,Age,Club,Transfer Value,Wage,Min AP,Min Fee Rls,Min Fee Rls to Foreign Clubs,Personality,Media Handling,Left Foot,Right Foot,1v1,Acc,Aer,Agg,Agi,Ant,Bal,Bra,Cmd,Cnt,Cmp,Cro,Dec,Det,Dri,Fin,Fir,Fla,Han,Hea,Jum,Kic,Ldr,Lon,Mar,OtB,Pac,Pas,Pos,Ref,Sta,Str,Tck,Tea,Tec,Thr,TRO,Vis,Wor,Cor,Height,Injury Risk,Expires,,Min Value,Max Value,Avg Value,height_feet,height_inch,height_cm,Months Remaining
5157,     , Randy Nteka                   ," DM, M/AM (C), ST (C)             ", COD ,25.0, Vallecano                 , £2.7M - £5.2M   ,6750.0, -       , £9.25M      , -                            , Balanced            ," Outspoken, Media-friendly   ", Very Strong   , Reasonable    ,2.0,12.0,3.0,14.0,11.0,12.0,9.0,14.0,3.0,13.0,12.0,8.0,14.0,9.0,11.0,12.0,11.0,14.0,3.0,14.0,14.0,2.0,15.0,11.0,9.0,12.0,13.0,13.0,11.0,2.0,14.0,15.0,12.0,11.0,12.0,1.0,1.0,14.0,12.0,7.0," 6'2""   ", Normal      ,2026-06-30, ,2700000.0,5200000.0,3950000.0,6,2,187.96,34.0
5159,     , Bernabé                       , GK                               , ESP ,30.0, Albacete                  , £350K - £1M     ,2800.0, -       , £1.8M       , -                            , Balanced            , Media-friendly              , Weak          , Very Strong   ,12.0,11.0,13.0,7.0,13.0,15.0,11.0,12.0,12.0,13.0,11.0,3.0,11.0,4.0,1.0,1.0,10.0,3.0,13.0,1.0,10.0,12.0,12.0,3.0,3.0,1.0,10.0,10.0,12.0,15.0,9.0,12.0,1.0,11.0,10.0,12.0,7.0,11.0,11.0,3.0," 6'2""   ", High        ,2024-06-30, ,350000.0,1000000.0,675000.0,6,2,187.96,10.0
5161,     , Lluís Tarrés                  , GK                               , ESP ,22.0, Córdoba                   , £120K - £350K   ,300.0, -       , £300K       , -                            , Balanced            , Level-headed                , Reasonable    , Very Strong   ,7.0,11.0,14.0,13.0,6.0,10.0,7.0,13.0,10.0,9.0,6.0,3.0,14.0,4.0,1.0,2.0,6.0,3.0,14.0,1.0,12.0,12.0,3.0,2.0,3.0,2.0,12.0,10.0,6.0,14.0,2.0,6.0,3.0,8.0,1.0,8.0,5.0,7.0,7.0,4.0," 6'2""   ", Low         ,2024-06-30, ,120000.0,350000.0,235000.0,6,2,187.96,10.0
5163,     , Nicolai Vallys                , AM (RLC)                         , DEN ,26.0, Brøndby IF                , £6.4M - £9.4M   ,14250.0, -       , -           , -                            , Balanced            , Level-headed                , Reasonable    , Very Strong   ,1.0,13.0,1.0,11.0,14.0,15.0,12.0,11.0,3.0,14.0,14.0,12.0,15.0,12.0,13.0,13.0,13.0,11.0,2.0,10.0,13.0,1.0,7.0,13.0,5.0,15.0,12.0,13.0,5.0,3.0,13.0,12.0,4.0,14.0,14.0,3.0,1.0,14.0,14.0,8.0," 6'2""   ", Normal      ,2026-06-30, ,6400000.0,9400000.0,7900000.0,6,2,187.96,34.0
5165,     , August Erlingmark             ," D (C), DM, M (C)                 ", SWE ,25.0, Atromitos                 , £220K - £2.2M   ,2700.0, -       , -           , -                            , Fairly Loyal        , Level-headed                , Reasonable    , Very Strong   ,1.0,12.0,1.0,13.0,9.0,13.0,11.0,14.0,2.0,13.0,12.0,11.0,13.0,14.0,9.0,7.0,11.0,5.0,2.0,12.0,14.0,1.0,12.0,7.0,11.0,9.0,12.0,12.0,13.0,3.0,13.0,12.0,13.0,14.0,11.0,2.0,3.0,11.0,14.0,9.0," 6'2""   ", Normal      ,2024-06-30, ,220000.0,2200000.0,1210000.0,6,2,187.96,10.0
5167,     , Tim Lemperle                  ," AM (R), ST (C)                   ", GER ,21.0, Fürth                     , £160K - £6M     ,9750.0, -       , -           , -                            , Balanced            , Level-headed                , Reasonable    , Very Strong   ,3.0,14.0,2.0,12.0,12.0,13.0,10.0,12.0,2.0,10.0,11.0,10.0,10.0,13.0,13.0,12.0,13.0,14.0,1.0,11.0,13.0,3.0,6.0,10.0,7.0,12.0,15.0,11.0,7.0,2.0,13.0,11.0,8.0,13.0,13.0,1.0,2.0,12.0,15.0,13.0," 6'2""   ", Normal      ,2025-06-30, ,160000.0,6000000.0,3080000.0,6,2,187.96,22.0
5169,     , Kewin                         , GK                               , BRA ,28.0, Moreirense                , £450K - £1.3M   ,1400.0, -       , -           , -                            , Balanced            , Media-friendly              , Weak          , Very Strong   ,14.0,11.0,13.0,7.0,12.0,12.0,12.0,12.0,11.0,12.0,10.0,2.0,12.0,12.0,6.0,1.0,10.0,3.0,11.0,1.0,14.0,9.0,6.0,2.0,2.0,1.0,11.0,9.0,12.0,15.0,12.0,14.0,1.0,12.0,8.0,12.0,14.0,8.0,12.0,3.0," 6'2""   ", Low         ,2025-06-30, ,450000.0,1300000.0,875000.0,6,2,187.96,22.0
5171, Loa , David Mamutović               ," M (RL), AM (RLC)                 ", GER ,22.0, Mainz 05 II               , £160K - £475K   ,3300.0, -       , -           , -                            , Balanced            , Media-friendly              , Very Strong   , Weak          ,1.0,13.0,2.0,12.0,12.0,9.0,10.0,9.0,1.0,9.0,9.0,10.0,8.0,13.0,11.0,10.0,11.0,12.0,3.0,8.0,13.0,3.0,6.0,9.0,8.0,11.0,13.0,11.0,8.0,3.0,12.0,10.0,8.0,12.0,11.0,2.0,3.0,11.0,12.0,12.0," 6'2""   ", Low         ,2025-06-30, ,160000.0,475000.0,317500.0,6,2,187.96,22.0
5173, Wnt , Silas                         ," WB/M (R), AM (RL)                ", COD ,24.0, VfB Stuttgart             , £5.2M - £7.6M   ,29000.0, -       , -           , -                            , Fairly Loyal        , Level-headed                , Weak          , Very Strong   ,2.0,16.0,2.0,12.0,15.0,11.0,11.0,11.0,1.0,10.0,11.0,10.0,10.0,12.0,14.0,12.0,12.0,16.0,2.0,9.0,13.0,2.0,4.0,9.0,8.0,13.0,17.0,11.0,8.0,1.0,12.0,12.0,8.0,12.0,14.0,2.0,2.0,11.0,12.0,6.0," 6'2""   ", Low         ,2026-06-30, ,5200000.0,7600000.0,6400000.0,6,2,187.96,34.0
5175,     , Miguel Silva                  , GK                               , POR ,28.0, Beitar Jerusalem          , £425K - £1.2M   ,3300.0, -       , -           , -                            , Fairly Professional , Level-headed                , Weak          , Very Strong   ,11.0,14.0,13.0,16.0,16.0,15.0,12.0,16.0,10.0,9.0,9.0,1.0,10.0,14.0,2.0,2.0,10.0,1.0,11.0,8.0,13.0,12.0,10.0,2.0,2.0,3.0,13.0,7.0,11.0,13.0,13.0,11.0,2.0,13.0,8.0,10.0,12.0,8.0,15.0,3.0," 6'2""   ", Low         ,2024-05-31, ,425000.0,1200000.0,812500.0,6,2,187.96,9.0
5177,     , Pavle Vagić                   ," D (C), DM, M (C)                 ", SWE ,23.0, Hammarby IF               , £350K - £1M     ,2200.0, -       , -           , -                            , Balanced            , Media-friendly              , Reasonable    , Very Strong   ,1.0,10.0,1.0,12.0,7.0,11.0,12.0,12.0,1.0,11.0,11.0,9.0,12.0,11.0,8.0,6.0,11.0,7.0,2.0,11.0,13.0,2.0,8.0,8.0,11.0,7.0,11.0,12.0,12.0,2.0,11.0,13.0,11.0,11.0,11.0,3.0,2.0,11.0,11.0,9.0," 6'2""   ", Low         ,2026-12-31, ,350000.0,1000000.0,675000.0,6,2,187.96,40.0
5179,     , Diego Reyes                   ," D (C), DM                        ", MEX ,30.0, Tigres                    , £140K - £1.4M   ,10750.0, -       , -           , -                            , Fairly Professional , Level-headed                , Reasonable    , Very Strong   ,4.0,11.0,4.0,11.0,12.0,12.0,12.0,13.0,3.0,12.0,12.0,8.0,12.0,14.0,9.0,7.0,12.0,8.0,3.0,14.0,15.0,3.0,12.0,9.0,14.0,11.0,13.0,12.0,14.0,2.0,11.0,11.0,14.0,14.0,12.0,1.0,1.0,12.0,13.0,7.0," 6'2""   ", High        ,2025-06-30, ,140000.0,1400000.0,770000.0,6,2,187.96,22.0
5181,     , Michel Vlap                   , M/AM (C)                         , NED ,26.0, FC Twente                 , £6.4M - £7.8M   ,8500.0, -       , -           , -                            , Balanced            , Level-headed                , Fairly Strong , Very Strong   ,3.0,12.0,1.0,12.0,11.0,14.0,13.0,12.0,2.0,12.0,13.0,9.0,13.0,14.0,12.0,12.0,13.0,12.0,2.0,13.0,14.0,1.0,13.0,12.0,6.0,15.0,12.0,13.0,8.0,1.0,14.0,10.0,6.0,15.0,12.0,1.0,4.0,14.0,15.0,10.0," 6'2""   ", Low         ,2025-06-30, ,6400000.0,7800000.0,7100000.0,6,2,187.96,22.0
5183,     , Jaromír Zmrhal                , M/AM (LC)                        , CZE ,30.0, Slovan Bratislava         , £130K - £375K   ,875.0, -       , -           , -                            , Resolute            , Level-headed                , Very Strong   , Reasonable    ,3.0,13.0,2.0,7.0,12.0,10.0,12.0,8.0,3.0,10.0,11.0,12.0,10.0,15.0,12.0,9.0,12.0,11.0,2.0,11.0,14.0,3.0,10.0,14.0,9.0,13.0,12.0,12.0,10.0,3.0,12.0,12.0,9.0,14.0,12.0,2.0,3.0,12.0,13.0,14.0," 6'2""   ", Normal      ,2024-06-30, ,130000.0,375000.0,252500.0,6,2,187.96,10.0
5185,     , Mamadou Mbacke                , D (C)                            , SEN ,20.0, Barcelona B               , £550K - £7.4M   ,2500.0, -       , -           , -                            , Balanced            , Media-friendly              , Reasonable    , Very Strong   ,2.0,13.0,2.0,14.0,11.0,11.0,11.0,12.0,1.0,10.0,12.0,6.0,11.0,14.0,8.0,7.0,11.0,7.0,2.0,14.0,16.0,3.0,7.0,6.0,13.0,8.0,14.0,11.0,12.0,1.0,11.0,12.0,12.0,11.0,11.0,3.0,1.0,9.0,13.0,2.0," 6'2""   ", Low         ,2024-12-31, ,550000.0,7400000.0,3975000.0,6,2,187.96,16.0
5187, Inj , Lucas Chevalier               , GK                               , FRA ,21.0, LOSC                      , £17.5M - £21M   ,15250.0, -       , -           , -                            , Fairly Professional , Level-headed                , Weak          , Very Strong   ,16.0,11.0,14.0,9.0,12.0,14.0,12.0,14.0,13.0,12.0,13.0,1.0,15.0,14.0,2.0,2.0,12.0,3.0,13.0,1.0,15.0,12.0,2.0,3.0,2.0,3.0,11.0,12.0,12.0,15.0,9.0,12.0,1.0,13.0,10.0,11.0,13.0,12.0,12.0,6.0," 6'2""   ", High        ,2027-06-30, ,17500000.0,21000000.0,19250000.0,6,2,187.96,46.0
5189, Inj , Javi Sánchez                  , D (C)                            , ESP ,26.0, Valladolid                , £2.4M - £4.7M   ,12250.0, £2.4M   , £13.5M      , -                            , Balanced            , Media-friendly              , Strong        , Very Strong   ,2.0,11.0,3.0,8.0,11.0,11.0,13.0,12.0,2.0,14.0,13.0,2.0,13.0,8.0,3.0,6.0,7.0,3.0,1.0,16.0,15.0,1.0,11.0,5.0,13.0,8.0,13.0,7.0,14.0,3.0,14.0,15.0,14.0,13.0,8.0,3.0,4.0,8.0,14.0,6.0," 6'2""   ", High        ,2026-06-30, ,2400000.0,4700000.0,3550000.0,6,2,187.96,34.0
5191, Sct , Gavin Bazunu                  , GK                               , IRL ,21.0, Southampton               , £16.5M - £24M   ,24000.0, £16.5M  , -           , -                            , Resolute            , Reserved                    , Weak          , Very Strong   ,14.0,12.0,14.0,8.0,13.0,11.0,13.0,11.0,14.0,8.0,11.0,3.0,11.0,15.0,3.0,1.0,11.0,8.0,16.0,8.0,13.0,14.0,7.0,3.0,2.0,12.0,11.0,13.0,11.0,16.0,13.0,10.0,2.0,12.0,11.0,12.0,11.0,12.0,11.0,3.0," 6'2""   ", Low         ,2027-06-30, ,16500000.0,24000000.0,20250000.0,6,2,187.96,46.0
5193,     , Jan Vertonghen                , D (LC)                           , BEL ,36.0, RSC Anderlecht            , £150K - £1.5M   ,28000.0, -       , -           , -                            , Spirited            , Unflappable                 , Very Strong   , Weak          ,3.0,7.0,2.0,14.0,9.0,15.0,13.0,14.0,3.0,14.0,14.0,11.0,12.0,12.0,10.0,8.0,14.0,12.0,4.0,15.0,14.0,3.0,18.0,10.0,15.0,10.0,10.0,14.0,16.0,2.0,13.0,15.0,16.0,15.0,14.0,1.0,3.0,14.0,11.0,7.0," 6'2""   ", Low         ,2024-06-30, ,150000.0,1500000.0,825000.0,6,2,187.96,10.0
5195,     , Lazar Kaličanin               , GK                               , SRB ,19.0, Čukarički                 , £140K - £1.4M   ,190.0, -       , -           , -                            , Driven              , Media-friendly              , Reasonable    , Very Strong   ,13.0,10.0,12.0,9.0,11.0,10.0,10.0,11.0,11.0,11.0,8.0,3.0,12.0,19.0,2.0,1.0,5.0,3.0,9.0,2.0,15.0,11.0,10.0,3.0,3.0,3.0,12.0,10.0,13.0,10.0,6.0,9.0,2.0,11.0,8.0,8.0,10.0,10.0,10.0,2.0," 6'2""   ", Low         ,2024-06-30, ,140000.0,1400000.0,770000.0,6,2,187.96,10.0
5197,     , Toma Bašić                    ," DM, M/AM (C)                     ", CRO ,26.0, Salernitana               , £190K - £1.9M   ,29500.0, -       , -           , -                            , Fairly Professional , Level-headed                , Very Strong   , Reasonable    ,3.0,11.0,3.0,12.0,12.0,14.0,11.0,13.0,1.0,12.0,12.0,11.0,11.0,14.0,13.0,12.0,13.0,14.0,1.0,14.0,14.0,2.0,7.0,13.0,11.0,15.0,12.0,14.0,13.0,2.0,13.0,14.0,13.0,16.0,14.0,2.0,2.0,13.0,13.0,14.0," 6'2""   ", Low         ,2026-06-30, ,190000.0,1900000.0,1045000.0,6,2,187.96,34.0
5199,     , Collins Sichenje              ," D (C), DM, M (C)                 ", KEN ,19.0, AIK                       , £550K - £1.2M   ,875.0, -       , -           , -                            , Balanced            , Media-friendly              , Reasonable    , Very Strong   ,1.0,12.0,3.0,18.0,11.0,12.0,14.0,14.0,1.0,12.0,12.0,9.0,11.0,13.0,6.0,6.0,8.0,8.0,2.0,11.0,11.0,3.0,8.0,8.0,12.0,10.0,13.0,7.0,10.0,1.0,13.0,14.0,12.0,11.0,9.0,3.0,3.0,9.0,11.0,6.0," 6'2""   ", Normal      ,2026-12-31, ,550000.0,1200000.0,875000.0,6,2,187.96,40.0
5201,     , Simon Banza                   , ST (C)                           , COD ,26.0, BRG                       , £12.5M - £15M   ,8000.0, -       , £34.5M      , -                            , Balanced            , Media-friendly              , Fairly Strong , Very Strong   ,3.0,12.0,4.0,15.0,12.0,16.0,11.0,16.0,3.0,13.0,12.0,10.0,12.0,14.0,13.0,16.0,13.0,12.0,1.0,18.0,16.0,2.0,7.0,10.0,4.0,16.0,13.0,9.0,6.0,3.0,13.0,13.0,5.0,11.0,12.0,3.0,1.0,13.0,13.0,8.0," 6'2""   ", Low         ,2027-06-30, ,12500000.0,15000000.0,13750000.0,6,2,187.96,46.0
5203, Wnt , Gian Marco Ferrari            , D (C)                            , ITA ,31.0, Sassuolo                  , £190K - £1.9M   ,18250.0, -       , -           , -                            , Resolute            , Level-headed                , Very Strong   , Weak          ,1.0,12.0,3.0,14.0,12.0,13.0,15.0,14.0,3.0,12.0,13.0,5.0,13.0,15.0,6.0,5.0,11.0,10.0,3.0,14.0,13.0,2.0,13.0,5.0,14.0,8.0,12.0,13.0,14.0,3.0,13.0,15.0,12.0,12.0,11.0,3.0,3.0,11.0,12.0,4.0," 6'2""   ", Low         ,2024-06-30, ,190000.0,1900000.0,1045000.0,6,2,187.96,10.0
5205,     , Václav Hladký                 , GK                               , CZE ,32.0, Ipswich                   , £300K - £2.9M   ,6500.0, -       , -           , -                            , Spirited            , Evasive                     , Reasonable    , Very Strong   ,13.0,12.0,12.0,9.0,13.0,12.0,10.0,15.0,11.0,13.0,13.0,2.0,12.0,15.0,3.0,2.0,13.0,11.0,13.0,3.0,12.0,15.0,14.0,2.0,7.0,5.0,12.0,15.0,13.0,13.0,7.0,12.0,6.0,10.0,8.0,13.0,16.0,11.0,7.0,2.0," 6'2""   ", Low         ,2024-06-30, ,300000.0,2900000.0,1600000.0,6,2,187.96,10.0
5207,     , Milan Obradović               , D (LC)                           , SRB ,23.0, Javor                     , £210K - £600K   ,300.0, -       , -           , -                            , Balanced            , Media-friendly              , Very Strong   , Weak          ,1.0,11.0,1.0,12.0,9.0,11.0,11.0,13.0,1.0,10.0,11.0,9.0,12.0,7.0,8.0,8.0,10.0,9.0,1.0,11.0,14.0,1.0,8.0,6.0,12.0,7.0,11.0,11.0,12.0,3.0,13.0,11.0,11.0,13.0,12.0,3.0,3.0,10.0,14.0,8.0," 6'2""   ", Low         ,2024-06-30, ,210000.0,600000.0,405000.0,6,2,187.96,10.0
5209,     , Bojan Miovski                 , ST (C)                           , MKD ,24.0, Aberdeen                  , £4.7M - £7M     ,3500.0, -       , -           , -                            , Balanced            , Media-friendly              , Very Strong   , Reasonable    ,3.0,14.0,3.0,11.0,14.0,14.0,11.0,13.0,2.0,9.0,8.0,6.0,9.0,13.0,14.0,14.0,14.0,13.0,2.0,13.0,11.0,2.0,13.0,10.0,5.0,15.0,14.0,13.0,8.0,1.0,11.0,10.0,4.0,10.0,15.0,2.0,2.0,12.0,14.0,11.0," 6'2""   ", Very High   ,2026-05-31, ,4700000.0,7000000.0,5850000.0,6,2,187.96,33.0
5211,     , Morten Thorsby                ," DM, M (C)                        ", NOR ,27.0, Genoa                     , £120K - £6M     ,17250.0, -       , -           , -                            , Model Professional  ," Media-friendly, Reserved    ", Reasonable    , Very Strong   ,3.0,12.0,3.0,17.0,10.0,13.0,15.0,16.0,2.0,15.0,12.0,7.0,12.0,18.0,10.0,9.0,11.0,8.0,3.0,16.0,16.0,3.0,12.0,7.0,13.0,13.0,12.0,11.0,13.0,2.0,18.0,15.0,15.0,18.0,11.0,2.0,3.0,11.0,19.0,2.0," 6'2""   ", Low         ,2025-06-30, ,120000.0,6000000.0,3060000.0,6,2,187.96,22.0
5213,     , Mihailo Oreščanin             ," D (C), DM, M (C)                 ", SRB ,25.0, Radnik Surdulica          , £170K - £500K   ,325.0, -       , -           , -                            , Balanced            , Media-friendly              , Reasonable    , Very Strong   ,4.0,11.0,3.0,13.0,10.0,12.0,12.0,12.0,3.0,11.0,10.0,7.0,10.0,3.0,7.0,7.0,10.0,8.0,2.0,12.0,13.0,1.0,10.0,9.0,12.0,8.0,11.0,10.0,12.0,2.0,11.0,13.0,12.0,12.0,9.0,1.0,2.0,7.0,13.0,6.0," 6'2""   ", Normal      ,2025-06-30, ,170000.0,500000.0,335000.0,6,2,187.96,22.0
5215,     , Yoan Bonny                    , ST (C)                           , FRA ,19.0, Parma                     , £500K - £4.9M   ,16250.0, -       , -           , -                            , Balanced            , Media-friendly              , Weak          , Very Strong   ,2.0,14.0,1.0,13.0,13.0,13.0,15.0,12.0,2.0,11.0,12.0,7.0,12.0,13.0,13.0,13.0,13.0,12.0,4.0,13.0,14.0,2.0,11.0,9.0,5.0,14.0,13.0,12.0,15.0,3.0,15.0,15.0,7.0,15.0,13.0,2.0,1.0,11.0,13.0,5.0," 6'2""   ", Low         ,2027-06-30, ,500000.0,4900000.0,2700000.0,6,2,187.96,46.0
5217,     , Lukáš Hejda                   , D (C)                            , CZE ,33.0, Viktoria Plzeň            , £700K - £1.5M   ,6000.0, -       , -           , -                            , Fairly Determined   , Level-headed                , Weak          , Very Strong   ,3.0,13.0,1.0,14.0,9.0,12.0,17.0,13.0,3.0,12.0,11.0,5.0,11.0,15.0,9.0,6.0,9.0,13.0,1.0,17.0,16.0,1.0,10.0,5.0,15.0,13.0,13.0,8.0,14.0,2.0,15.0,16.0,14.0,13.0,8.0,3.0,3.0,9.0,11.0,6.0," 6'2""   ", Low         ,2024-06-30, ,700000.0,1500000.0,1100000.0,6,2,187.96,10.0
5219, Wnt , Saturnin Allagbé              , GK                               , BEN ,29.0, Dijon FCO                 , £100K - £300K   ,1100.0, -       , -           , -                            , Fairly Professional , Level-headed                , Weak          , Very Strong   ,13.0,8.0,12.0,5.0,13.0,12.0,12.0,7.0,12.0,14.0,12.0,3.0,11.0,14.0,1.0,2.0,8.0,4.0,12.0,8.0,14.0,14.0,12.0,1.0,3.0,2.0,8.0,9.0,12.0,13.0,14.0,12.0,1.0,11.0,8.0,13.0,11.0,10.0,10.0,4.0," 6'2""   ", Normal      ,2024-06-30, ,100000.0,300000.0,200000.0,6,2,187.96,10.0
5221,     , Kenneth Otigba                , D (C)                            , HUN ,30.0, Vasas                     , £120K - £350K   ,1700.0, -       , -           , -                            , Balanced            , Level-headed                , Reasonable    , Very Strong   ,1.0,9.0,2.0,13.0,8.0,10.0,11.0,13.0,3.0,10.0,10.0,5.0,11.0,13.0,7.0,6.0,9.0,6.0,1.0,14.0,14.0,2.0,10.0,8.0,13.0,10.0,9.0,9.0,13.0,2.0,12.0,14.0,13.0,14.0,9.0,3.0,3.0,9.0,13.0,3.0," 6'2""   ", Increased   ,2024-06-30, ,120000.0,350000.0,235000.0,6,2,187.96,10.0
5223,     , Korbinian Burger              , D (LC)                           , GER ,28.0, Erzgebirge Aue            , £110K - £325K   ,1500.0, -       , -           , -                            , Balanced            , Media-friendly              , Very Strong   , Weak          ,1.0,9.0,1.0,9.0,7.0,12.0,11.0,13.0,1.0,13.0,11.0,10.0,13.0,12.0,8.0,4.0,11.0,8.0,3.0,11.0,15.0,1.0,11.0,7.0,13.0,11.0,11.0,13.0,12.0,1.0,12.0,14.0,13.0,10.0,12.0,2.0,1.0,9.0,14.0,9.0," 6'2""   ", Normal      ,2024-06-30, ,110000.0,325000.0,217500.0,6,2,187.96,10.0
5225, nEU , Mert Çetin                    , D (C)                            , TUR ,26.0, Ankaragücü                , £150K - £1.5M   ,25000.0, -       , -           , -                            , Balanced            , Level-headed                , Reasonable    , Very Strong   ,3.0,9.0,2.0,18.0,10.0,14.0,11.0,14.0,2.0,13.0,13.0,7.0,12.0,13.0,8.0,6.0,11.0,5.0,1.0,13.0,14.0,2.0,8.0,5.0,13.0,7.0,12.0,12.0,12.0,2.0,12.0,16.0,15.0,10.0,12.0,1.0,3.0,10.0,13.0,5.0," 6'2""   ", Low         ,2025-06-30, ,150000.0,1500000.0,825000.0,6,2,187.96,22.0
5227,     , Wilhelm Vorsager              ," D (C), DM                        ", AUT ,26.0, FC Admira Wacker Mödling  , £300K - £900K   ,1700.0, -       , -           , -                            , Balanced            , Level-headed                , Fairly Strong , Very Strong   ,1.0,11.0,3.0,7.0,9.0,9.0,13.0,12.0,2.0,10.0,10.0,8.0,10.0,12.0,8.0,5.0,9.0,6.0,1.0,12.0,14.0,3.0,8.0,9.0,11.0,7.0,12.0,9.0,15.0,2.0,13.0,12.0,11.0,13.0,10.0,2.0,1.0,11.0,12.0,6.0," 6'2""   ", Low         ,2024-06-30, ,300000.0,900000.0,600000.0,6,2,187.96,10.0
5229,     , Maximilian Dietz              ," D (C), DM, M (C)                 ", USA ,21.0, Fürth                     , £1.1M - £2.3M   ,3300.0, -       , -           , -                            , Fairly Professional , Reserved                    , Reasonable    , Very Strong   ,2.0,12.0,3.0,14.0,10.0,11.0,12.0,12.0,2.0,12.0,12.0,7.0,11.0,13.0,10.0,6.0,11.0,8.0,2.0,12.0,13.0,2.0,12.0,6.0,13.0,8.0,13.0,12.0,13.0,2.0,12.0,13.0,12.0,16.0,11.0,3.0,3.0,11.0,12.0,6.0," 6'2""   ", Normal      ,2025-06-30, ,1100000.0,2300000.0,1700000.0,6,2,187.96,22.0
5233,     , Aliou Badji                   , ST (C)                           , SEN ,25.0, Gaziantep FK              , £130K - £1.3M   ,4400.0, -       , -           , -                            , Balanced            , Media-friendly              , Fairly Strong , Very Strong   ,1.0,13.0,1.0,14.0,11.0,10.0,15.0,14.0,3.0,11.0,13.0,8.0,10.0,11.0,11.0,11.0,11.0,13.0,1.0,13.0,15.0,2.0,8.0,10.0,3.0,12.0,13.0,10.0,5.0,3.0,13.0,13.0,6.0,11.0,10.0,1.0,3.0,11.0,13.0,7.0," 6'2""   ", Increased   ,2026-06-30, ,130000.0,1300000.0,715000.0,6,2,187.96,34.0
5235,     , José Córdoba                  , D (LC)                           , PAN ,22.0, Levski                    , £180K - £1.8M   ,1100.0, -       , -           , -                            , Fairly Determined   , Level-headed                , Very Strong   , Weak          ,2.0,12.0,2.0,14.0,10.0,13.0,13.0,15.0,3.0,11.0,11.0,9.0,10.0,15.0,10.0,7.0,10.0,6.0,3.0,12.0,15.0,2.0,11.0,10.0,11.0,8.0,15.0,12.0,12.0,2.0,14.0,16.0,15.0,16.0,11.0,1.0,3.0,10.0,13.0,8.0," 6'2""   ", Low         ,2025-06-30, ,180000.0,1800000.0,990000.0,6,2,187.96,22.0
5237,     , Paweł Dawidowicz              , D (C)                            , POL ,28.0, Hellas Verona             , £2.2M - £4.5M   ,6250.0, -       , -           , -                            , Fairly Professional , Level-headed                , Weak          , Very Strong   ,3.0,10.0,3.0,15.0,10.0,12.0,13.0,14.0,3.0,12.0,11.0,8.0,11.0,14.0,10.0,7.0,11.0,8.0,2.0,14.0,16.0,3.0,10.0,9.0,15.0,5.0,12.0,9.0,14.0,3.0,14.0,17.0,15.0,14.0,10.0,3.0,3.0,9.0,14.0,5.0," 6'2""   ", Low         ,2025-06-30, ,2200000.0,4500000.0,3350000.0,6,2,187.96,22.0
5239, Wnt , Jan Bednarek                  , D (C)                            , POL ,27.0, Southampton               , £13M - £19.5M   ,36000.0, -       , -           , -                            , Balanced            , Level-headed                , Reasonable    , Very Strong   ,1.0,13.0,2.0,12.0,12.0,14.0,13.0,17.0,3.0,14.0,12.0,7.0,14.0,13.0,9.0,7.0,11.0,8.0,4.0,14.0,14.0,3.0,13.0,5.0,14.0,5.0,13.0,12.0,14.0,3.0,17.0,15.0,14.0,14.0,13.0,2.0,3.0,9.0,15.0,2.0," 6'2""   ", High        ,2025-06-30, ,13000000.0,19500000.0,16250000.0,6,2,187.96,22.0
5241,     , Matteo Bianchetti             , D (RC)                           , ITA ,30.0, Cremonese                 , £230K - £2.3M   ,10000.0, -       , -           , -                            , Resolute            , Reserved                    , Weak          , Very Strong   ,3.0,11.0,2.0,14.0,11.0,14.0,11.0,14.0,2.0,14.0,14.0,9.0,13.0,15.0,8.0,6.0,9.0,3.0,1.0,14.0,12.0,1.0,16.0,7.0,13.0,7.0,11.0,11.0,15.0,1.0,14.0,13.0,14.0,12.0,8.0,3.0,4.0,8.0,12.0,4.0," 6'2""   ", Low         ,2025-06-30, ,230000.0,2300000.0,1265000.0,6,2,187.96,22.0
5243,     , Nikola Soldo                  , D (C)                            , CRO ,22.0, Kaiserslautern            , £450K - £4.5M   ,8250.0, -       , -           , -                            , Balanced            , Level-headed                , Reasonable    , Very Strong   ,2.0,11.0,1.0,11.0,10.0,12.0,13.0,16.0,1.0,12.0,10.0,6.0,10.0,12.0,8.0,6.0,11.0,7.0,1.0,14.0,14.0,1.0,9.0,6.0,13.0,7.0,13.0,12.0,14.0,2.0,12.0,14.0,14.0,12.0,11.0,3.0,2.0,11.0,12.0,3.0," 6'2""   ", Low         ,2025-06-30, ,450000.0,4500000.0,2475000.0,6,2,187.96,22.0
5245,     , Marco Hiller                  , GK                               , GER ,26.0, 1860 München              , £475K - £1.4M   ,2100.0, -       , -           , -                            , Light-Hearted       ," Evasive, Unflappable        ", Weak          , Very Strong   ,13.0,7.0,14.0,13.0,11.0,13.0,12.0,12.0,12.0,11.0,10.0,3.0,11.0,15.0,2.0,2.0,9.0,8.0,12.0,3.0,15.0,11.0,11.0,2.0,2.0,1.0,8.0,6.0,13.0,14.0,11.0,11.0,1.0,11.0,8.0,11.0,14.0,10.0,10.0,2.0," 6'2""   ", Low         ,2025-06-30, ,475000.0,1400000.0,937500.0,6,2,187.96,22.0
